ImageNumber,Filename,Treatment,Well,Time_hr
1,VID653_B2_1_00d00h00m.tif,IL34neg_Vehicle,B3,0
2,VID653_B2_1_00d02h00m.tif,IL34neg_Vehicle,B3,2
3,VID653_B2_1_00d04h00m.tif,IL34neg_Vehicle,B3,4
4,VID653_B2_1_00d06h00m.tif,IL34neg_Vehicle,B3,6
5,VID653_B2_1_00d08h00m.tif,IL34neg_Vehicle,B3,8
6,VID653_B2_1_00d10h00m.tif,IL34neg_Vehicle,B3,10
7,VID653_B2_1_00d12h00m.tif,IL34neg_Vehicle,B3,12
8,VID653_B2_1_00d14h00m.tif,IL34neg_Vehicle,B3,14
9,VID653_B2_1_00d16h00m.tif,IL34neg_Vehicle,B3,16
10,VID653_B2_1_00d18h00m.tif,IL34neg_Vehicle,B3,18
11,VID653_B2_1_00d20h00m.tif,IL34neg_Vehicle,B3,20
12,VID653_B2_1_00d22h00m.tif,IL34neg_Vehicle,B3,22
13,VID653_B2_1_01d00h00m.tif,IL34neg_Vehicle,B3,24
14,VID653_B2_3_00d00h00m.tif,IL34neg_Vehicle,B3,0
15,VID653_B2_3_00d02h00m.tif,IL34neg_Vehicle,B3,2
16,VID653_B2_3_00d04h00m.tif,IL34neg_Vehicle,B3,4
17,VID653_B2_3_00d06h00m.tif,IL34neg_Vehicle,B3,6
18,VID653_B2_3_00d08h00m.tif,IL34neg_Vehicle,B3,8
19,VID653_B2_3_00d10h00m.tif,IL34neg_Vehicle,B3,10
20,VID653_B2_3_00d12h00m.tif,IL34neg_Vehicle,B3,12
21,VID653_B2_3_00d14h00m.tif,IL34neg_Vehicle,B3,14
22,VID653_B2_3_00d16h00m.tif,IL34neg_Vehicle,B3,16
23,VID653_B2_3_00d18h00m.tif,IL34neg_Vehicle,B3,18
24,VID653_B2_3_00d20h00m.tif,IL34neg_Vehicle,B3,20
25,VID653_B2_3_00d22h00m.tif,IL34neg_Vehicle,B3,22
26,VID653_B2_3_01d00h00m.tif,IL34neg_Vehicle,B3,24
27,VID653_B3_1_00d00h00m.tif,LPS,B4,0
28,VID653_B3_1_00d02h00m.tif,LPS,B4,2
29,VID653_B3_1_00d04h00m.tif,LPS,B4,4
30,VID653_B3_1_00d06h00m.tif,LPS,B4,6
31,VID653_B3_1_00d08h00m.tif,LPS,B4,8
32,VID653_B3_1_00d10h00m.tif,LPS,B4,10
33,VID653_B3_1_00d12h00m.tif,LPS,B4,12
34,VID653_B3_1_00d14h00m.tif,LPS,B4,14
35,VID653_B3_1_00d16h00m.tif,LPS,B4,16
36,VID653_B3_1_00d18h00m.tif,LPS,B4,18
37,VID653_B3_1_00d20h00m.tif,LPS,B4,20
38,VID653_B3_1_00d22h00m.tif,LPS,B4,22
39,VID653_B3_1_01d00h00m.tif,LPS,B4,24
40,VID653_B3_3_00d00h00m.tif,LPS,B4,0
41,VID653_B3_3_00d02h00m.tif,LPS,B4,2
42,VID653_B3_3_00d04h00m.tif,LPS,B4,4
43,VID653_B3_3_00d06h00m.tif,LPS,B4,6
44,VID653_B3_3_00d08h00m.tif,LPS,B4,8
45,VID653_B3_3_00d10h00m.tif,LPS,B4,10
46,VID653_B3_3_00d12h00m.tif,LPS,B4,12
47,VID653_B3_3_00d14h00m.tif,LPS,B4,14
48,VID653_B3_3_00d16h00m.tif,LPS,B4,16
49,VID653_B3_3_00d18h00m.tif,LPS,B4,18
50,VID653_B3_3_00d20h00m.tif,LPS,B4,20
51,VID653_B3_3_00d22h00m.tif,LPS,B4,22
52,VID653_B3_3_01d00h00m.tif,LPS,B4,24
53,VID653_B4_1_00d00h00m.tif,IFNr,B5,0
54,VID653_B4_1_00d02h00m.tif,IFNr,B5,2
55,VID653_B4_1_00d04h00m.tif,IFNr,B5,4
56,VID653_B4_1_00d06h00m.tif,IFNr,B5,6
57,VID653_B4_1_00d08h00m.tif,IFNr,B5,8
58,VID653_B4_1_00d10h00m.tif,IFNr,B5,10
59,VID653_B4_1_00d12h00m.tif,IFNr,B5,12
60,VID653_B4_1_00d14h00m.tif,IFNr,B5,14
61,VID653_B4_1_00d16h00m.tif,IFNr,B5,16
62,VID653_B4_1_00d18h00m.tif,IFNr,B5,18
63,VID653_B4_1_00d20h00m.tif,IFNr,B5,20
64,VID653_B4_1_00d22h00m.tif,IFNr,B5,22
65,VID653_B4_1_01d00h00m.tif,IFNr,B5,24
66,VID653_B4_3_00d00h00m.tif,IFNr,B5,0
67,VID653_B4_3_00d02h00m.tif,IFNr,B5,2
68,VID653_B4_3_00d04h00m.tif,IFNr,B5,4
69,VID653_B4_3_00d06h00m.tif,IFNr,B5,6
70,VID653_B4_3_00d08h00m.tif,IFNr,B5,8
71,VID653_B4_3_00d10h00m.tif,IFNr,B5,10
72,VID653_B4_3_00d12h00m.tif,IFNr,B5,12
73,VID653_B4_3_00d14h00m.tif,IFNr,B5,14
74,VID653_B4_3_00d16h00m.tif,IFNr,B5,16
75,VID653_B4_3_00d18h00m.tif,IFNr,B5,18
76,VID653_B4_3_00d20h00m.tif,IFNr,B5,20
77,VID653_B4_3_00d22h00m.tif,IFNr,B5,22
78,VID653_B4_3_01d00h00m.tif,IFNr,B5,24
79,VID653_B5_1_00d00h00m.tif,LPS+IFNr,B6,0
80,VID653_B5_1_00d02h00m.tif,LPS+IFNr,B6,2
81,VID653_B5_1_00d04h00m.tif,LPS+IFNr,B6,4
82,VID653_B5_1_00d06h00m.tif,LPS+IFNr,B6,6
83,VID653_B5_1_00d08h00m.tif,LPS+IFNr,B6,8
84,VID653_B5_1_00d10h00m.tif,LPS+IFNr,B6,10
85,VID653_B5_1_00d12h00m.tif,LPS+IFNr,B6,12
86,VID653_B5_1_00d14h00m.tif,LPS+IFNr,B6,14
87,VID653_B5_1_00d16h00m.tif,LPS+IFNr,B6,16
88,VID653_B5_1_00d18h00m.tif,LPS+IFNr,B6,18
89,VID653_B5_1_00d20h00m.tif,LPS+IFNr,B6,20
90,VID653_B5_1_00d22h00m.tif,LPS+IFNr,B6,22
91,VID653_B5_1_01d00h00m.tif,LPS+IFNr,B6,24
92,VID653_B5_3_00d00h00m.tif,LPS+IFNr,B6,0
